banner_width,banner_height,inventory_source,hour_of_day_utc,value
480,320,MOPUB,20,0.351482703416708
480,320,MOPUB,21,0.34388220825099497
768,1024,MOPUB,4,0.2870642873704012
768,1024,MOPUB,12,0.2771448269851363
768,1024,MOPUB,16,0.38759630909734305
768,1024,MOPUB,17,0.2438231019594293
768,1024,MOPUB,18,0.33124400341796617
768,1024,MOPUB,19,0.30842275846650613
768,1024,MOPUB,20,0.16902845386690984
768,1024,MOPUB,21,0.13833995956038073
1024,768,MOPUB,14,0.21245806979094198
1024,768,MOPUB,18,0.6322770145379188
,,AERSERV,4,0.30117548454480464
,,AERSERV,5,0.20592255559094028
,,AERSERV,6,0.22729481032236168
,,AERSERV,7,0.21822038933344098
,,AERSERV,8,0.0881793538199832
,,AERSERV,9,0.25776366168341025
,,AERSERV,10,0.3166202850847095
,,AERSERV,11,0.2026756968487748
,,AERSERV,12,0.36584967401258023
,,AERSERV,13,0.4078894814204447
,,AERSERV,14,0.24127547567202332
,,AERSERV,15,0.2969045575271588
,,AERSERV,16,0.39856523210713957
,,AERSERV,17,0.36538723384363486
,,AERSERV,18,0.2702162858944992
,,AERSERV,19,0.2799081284113769
,,AERSERV,20,0.23188591255256857
,,AERSERV,21,0.22040463161761745
,,APP_LOVIN,10,0.457636683436648
,,APP_LOVIN,12,0.18866592063105017
,,APP_LOVIN,15,0.0
,,FYBER,4,0.17489363321866713
,,FYBER,5,0.21298216405928772
,,FYBER,6,0.1808217230119771
,,FYBER,7,0.14435209592174172
,,FYBER,8,0.14435209592174172
,,FYBER,10,0.1706832769365126
,,FYBER,11,0.15844067437787726
,,FYBER,13,0.252026758155598
,,FYBER,14,0.20777622652018893
,,FYBER,15,0.2991046827337679
,,FYBER,16,0.24052086126220032
,,FYBER,18,0.4003694496678772
,,GOOGLE_ADX,4,0.8139572650811054
,,GOOGLE_ADX,5,0.7984670091437375
,,GOOGLE_ADX,6,0.7937942902194576
,,GOOGLE_ADX,7,0.6210416978822029
,,GOOGLE_ADX,8,0.7875387099605903
,,GOOGLE_ADX,9,0.5722865633243115
,,GOOGLE_ADX,10,0.5924736522618351
,,GOOGLE_ADX,11,0.7278863331499874
,,GOOGLE_ADX,12,0.7439985710128107
,,GOOGLE_ADX,13,0.8664654004235546
