banner_width,banner_height,app_bundle,inventory_source,hour_of_day_utc,value
,,UNKNOWN,RUBICON,22,0.0
,,abs.workout.fitness.tabata.hiit.stomach,GOOGLE_ADX,11,0.0
,,air.com.sgn.familyguy.gp,RUBICON,14,0.6197951459076848
,,air.com.sgn.familyguy.gp,RUBICON,15,0.1538543992433455
,,air.com.sgn.familyguy.gp,RUBICON,16,0.211127179905635
,,air.com.sgn.familyguy.gp,RUBICON,17,0.2076173490351914
,,air.com.sgn.familyguy.gp,RUBICON,18,0.09541522843221349
,,air.com.sgn.familyguy.gp,RUBICON,19,0.2121376290622155
,,air.com.sgn.familyguy.gp,RUBICON,20,0.267232218027654
,,air.com.sgn.familyguy.gp,RUBICON,21,0.16869933623014233
,,bubbles.pop.power,PULSEPOINT,15,1.4995493263394506
,,bubbles.pop.power,PULSEPOINT,16,1.58847543692008
,,bubbles.pop.power,PULSEPOINT,17,0.9940352587541157
,,bubbles.pop.power,RUBICON,13,0.09285073262239202
,,bubbles.pop.power,RUBICON,14,1.147072382731933
,,bubbles.pop.power,RUBICON,15,1.2083582700878857
,,bubbles.pop.power,RUBICON,16,0.7917823585170949
,,bubbles.pop.power,RUBICON,17,1.134659296687244
,,bubbles.pop.power,RUBICON,18,1.73221034842004
,,bubbles.pop.power,RUBICON,19,0.4520844618797975
,,bubbles.pop.power,RUBICON,20,0.46233418136745946
,,bubbles.pop.power,RUBICON,21,0.6885375670576077
,,bubbles.pop.power,RUBICON,22,0.22172995363745726
,,bubbleshooter.orig,GOOGLE_ADX,11,0.15469284372052275
,,bubbleshooter.orig,GOOGLE_ADX,14,0.4461743086993966
,,bubbleshooter.orig,GOOGLE_ADX,15,0.5498015648629868
,,bubbleshooter.orig,GOOGLE_ADX,16,0.040542374356478804
,,bubbleshooter.orig,GOOGLE_ADX,17,0.03198384563578904
,,bubbleshooter.orig,GOOGLE_ADX,18,0.11423052931798686
,,bubbleshooter.orig,GOOGLE_ADX,19,0.27051975368704
,,bubbleshooter.orig,GOOGLE_ADX,20,0.1311865009224089
,,bubbleshooter.orig,GOOGLE_ADX,21,0.17489507913046445
,,bubbleshooter.orig,PULSEPOINT,15,1.8018485720609951
,,bubbleshooter.orig,PULSEPOINT,16,1.2736222639206711
,,bubbleshooter.orig,PULSEPOINT,18,1.580728347976883
,,bubbleshooter.orig,PULSEPOINT,19,0.02401878496326022
,,bubbleshooter.orig,PULSEPOINT,20,0.027059235059713964
,,bubbleshooter.orig,PULSEPOINT,21,0.027059235059713964
,,bubbleshooter.orig,RUBICON,18,1.0059252726103238
,,com.Seriously.BestFiends,RUBICON,16,0.06217875800805649
,,com.Seriously.BestFiends,RUBICON,17,0.055375799423140415
,,com.Seriously.BestFiends,RUBICON,18,0.03852313975318931
,,com.Seriously.BestFiends,RUBICON,19,0.039300235909246674
,,com.accuweather.android,PULSEPOINT,15,0.05261668115716135
,,com.accuweather.android,PULSEPOINT,16,0.8476998431455591
,,com.accuweather.android,PULSEPOINT,17,0.4983282093291206
,,com.astarsoftware.euchre,PULSEPOINT,15,0.8061162674863018
,,com.astarsoftware.euchre,PULSEPOINT,16,0.8519990881622621
,,com.astarsoftware.euchre,PULSEPOINT,17,0.815821121283719
,,com.astarsoftware.euchre,PULSEPOINT,18,0.5187538852458432
,,com.astarsoftware.euchre,PULSEPOINT,19,0.7773306031700802
,,com.astarsoftware.euchre,PULSEPOINT,20,0.8013994877493599
,,com.astarsoftware.euchre,PULSEPOINT,21,0.6837923855481916
,,com.astarsoftware.euchre,PULSEPOINT,22,0.15297770760049748
,,com.astarsoftware.euchre,RUBICON,16,0.03453992054656781
,,com.astarsoftware.euchre,RUBICON,17,0.029620363670533285
,,com.astarsoftware.euchre,RUBICON,19,0.021429591330923675
,,com.auxbrain.egginc,UNITY,12,1.5238981375865368
,,com.badoo.mobile,PULSEPOINT,15,0.3840818651891311
,,com.badoo.mobile,PULSEPOINT,16,0.41634093113321363
,,com.badoo.mobile,PULSEPOINT,17,0.4111259589640621
,,com.badoo.mobile,PULSEPOINT,18,0.34255285160368115
,,com.badoo.mobile,PULSEPOINT,19,0.45102749310822143
,,com.badoo.mobile,PULSEPOINT,20,0.4562685462613799
,,com.badoo.mobile,PULSEPOINT,21,0.2911127358993787
,,com.badoo.mobile,PULSEPOINT,22,0.12865445680514534
,,com.barringtontv.android.khqa,OPENX,17,0.30001681272999964
