size,banner_width,banner_height,inventory_source,hour_of_day_utc,value
768x1024,768,1024,MOPUB,4,0.4799618265103238
768x1024,768,1024,MOPUB,5,0.5299108314315036
768x1024,768,1024,MOPUB,10,0.6861382537331592
768x1024,768,1024,MOPUB,14,1.2980697964831391
768x1024,768,1024,MOPUB,16,1.3955428243435515
768x1024,768,1024,MOPUB,18,1.2305721063827393
768x1024,768,1024,MOPUB,19,1.1525444729685743
768x1024,768,1024,MOPUB,20,0.8590114300165897
768x1024,768,1024,MOPUB,21,0.7450150499857637
x,,,AERSERV,4,1.2241540982684398
x,,,AERSERV,5,1.2192864627527096
x,,,AERSERV,6,1.4374906664114842
x,,,AERSERV,7,1.350569552760377
x,,,AERSERV,8,1.5790141403634004
x,,,AERSERV,9,1.4211746058950852
x,,,AERSERV,10,1.6038816537002674
x,,,AERSERV,11,1.8123689305512933
x,,,AERSERV,12,1.788974300688556
x,,,AERSERV,13,2.0332914462885605
x,,,AERSERV,14,2.297597543057962
x,,,AERSERV,15,2.288090185761496
x,,,AERSERV,16,2.26915293394576
x,,,AERSERV,17,2.292816442142635
x,,,AERSERV,18,2.2096276761070253
x,,,AERSERV,19,2.105991767983895
x,,,AERSERV,20,1.8423062564919754
x,,,AERSERV,21,1.6000717326620637
x,,,APP_LOVIN,17,1.2780605786876225
x,,,FYBER,4,0.3687400660793039
x,,,FYBER,5,0.2585288222060719
x,,,FYBER,8,0.5551535973569269
x,,,FYBER,10,0.34135232055099624
x,,,FYBER,11,0.5940426690743275
x,,,FYBER,12,0.6224900376800382
x,,,FYBER,13,0.46298298563427254
x,,,FYBER,14,0.9215198391398626
x,,,FYBER,18,0.8416729800911088
x,,,FYBER,20,0.4562528059385293
x,,,FYBER,21,0.4738459123053329
x,,,GOOGLE_ADX,4,0.7017506571836658
x,,,GOOGLE_ADX,5,0.7625770038907982
x,,,GOOGLE_ADX,6,0.9888186353721549
x,,,GOOGLE_ADX,7,0.8985984709355953
x,,,GOOGLE_ADX,8,1.0550354204352226
x,,,GOOGLE_ADX,9,1.099740710119915
x,,,GOOGLE_ADX,10,0.9548309562031718
x,,,GOOGLE_ADX,11,1.3155848425455892
x,,,GOOGLE_ADX,12,1.4435365792358053
x,,,GOOGLE_ADX,13,1.573769400210783
x,,,GOOGLE_ADX,14,2.4711150368696484
x,,,GOOGLE_ADX,15,2.25432905797947
x,,,GOOGLE_ADX,16,2.0759968049707966
x,,,GOOGLE_ADX,17,2.044134561896396
x,,,GOOGLE_ADX,18,1.8787011666506515
x,,,GOOGLE_ADX,19,1.612175120911728
x,,,GOOGLE_ADX,20,1.5973502193884086
x,,,GOOGLE_ADX,21,1.4197685956177835
x,,,INDEX_EXCHANGE,4,0.2318566537460417
x,,,INDEX_EXCHANGE,5,0.23259348973586108
x,,,INDEX_EXCHANGE,6,0.31313465598127893
x,,,INDEX_EXCHANGE,7,0.30750380192588966
x,,,INDEX_EXCHANGE,8,0.3340581236519942
x,,,INDEX_EXCHANGE,9,0.339231399740798
x,,,INDEX_EXCHANGE,10,0.3936727806888796
x,,,INDEX_EXCHANGE,11,0.539085654863944
x,,,INDEX_EXCHANGE,12,0.5397973481269182
x,,,INDEX_EXCHANGE,13,0.6345016490036516
x,,,INDEX_EXCHANGE,14,0.8566048911301907
x,,,INDEX_EXCHANGE,15,0.8573685355253184
x,,,INDEX_EXCHANGE,16,0.8496151592367361
x,,,INDEX_EXCHANGE,17,0.8435637046717649
x,,,INDEX_EXCHANGE,18,0.7502741810784718
x,,,INDEX_EXCHANGE,19,0.7135281562359354
x,,,INDEX_EXCHANGE,20,0.6317804508122046
x,,,INDEX_EXCHANGE,21,0.5499445600302619
x,,,LKQD,6,0.03188265762106248
x,,,MOPUB,4,0.0
x,,,MOPUB,8,0.0
x,,,MOPUB,16,0.0
x,,,MOPUB,17,0.0
x,,,OPENX,4,0.6093997547963723
x,,,OPENX,5,0.6674173097184213
x,,,OPENX,6,0.798502696547556
x,,,OPENX,7,0.683816904775588
x,,,OPENX,8,1.077800264475221
x,,,OPENX,9,1.1378800807087248
x,,,OPENX,10,1.1624918390857937
x,,,OPENX,11,1.479974520363423
x,,,OPENX,12,1.2780829652388597
x,,,OPENX,13,1.409563569085441
x,,,OPENX,14,1.8137641054143254
x,,,OPENX,15,1.8065595580376828
x,,,OPENX,16,1.8489388841356855
x,,,OPENX,17,1.9029136089163712
x,,,OPENX,18,1.5689444931868144
x,,,OPENX,19,1.8260899697854742
x,,,OPENX,20,1.424141391761345
x,,,OPENX,21,1.110911216917923
x,,,PULSEPOINT,4,0.6403677980545385
x,,,PULSEPOINT,5,0.9404770306515932
x,,,PULSEPOINT,6,1.3414534260238153
x,,,PULSEPOINT,7,1.734548654688013
x,,,PULSEPOINT,8,2.1054168425049107
x,,,PULSEPOINT,9,1.4147926271167175
x,,,PULSEPOINT,10,1.488701483580282
x,,,PULSEPOINT,11,1.2061902333716172
x,,,PULSEPOINT,12,1.507582630965097
x,,,PULSEPOINT,13,1.3245940900746858
x,,,PULSEPOINT,14,1.9187183389038367
x,,,PULSEPOINT,15,1.9091473944552415
x,,,PULSEPOINT,16,1.463630517012545
x,,,PULSEPOINT,17,1.100659386370885
x,,,PULSEPOINT,18,1.6600587023282285
x,,,PULSEPOINT,19,1.4416011439888394
x,,,PULSEPOINT,20,1.572745719608276
x,,,PULSEPOINT,21,1.431375720911489
x,,,RUBICON,4,1.187803241301379
x,,,RUBICON,5,0.9069914741012988
x,,,RUBICON,6,1.2311084233037373
x,,,RUBICON,7,0.8084078367722222
x,,,RUBICON,8,1.002277256959121
x,,,RUBICON,9,1.2399247273263552
x,,,RUBICON,10,1.566595940962876
x,,,RUBICON,11,1.9605571056291748
x,,,RUBICON,12,1.8451127977369526
x,,,RUBICON,13,2.2547062473479533
x,,,RUBICON,14,2.7572732068185006
x,,,RUBICON,15,2.6894061983477386
x,,,RUBICON,16,2.4855991239516912
x,,,RUBICON,17,2.169722823552596
x,,,RUBICON,18,2.3455209222369247
x,,,RUBICON,19,2.2447301108184035
x,,,RUBICON,20,2.2211295551496355
x,,,RUBICON,21,1.9903876584216043
x,,,SMAATO,4,0.0068281388843072
x,,,SMAATO,5,1.0118293752542589
x,,,SMAATO,6,1.1008429860390057
x,,,SMAATO,7,0.30723989755199915
x,,,SMAATO,8,1.2691021554635658
x,,,SMAATO,9,0.44544181637637603
x,,,SMAATO,10,0.807806606857338
x,,,SMAATO,11,0.13018262755949397
x,,,SMAATO,12,0.016631182756879213
x,,,SMAATO,13,0.06709621683264132
x,,,SMAATO,14,0.4059206779428189
x,,,SMAATO,15,0.4903919232967889
x,,,SMAATO,16,0.020834756303233185
x,,,SMAATO,17,2.1724797293450293
x,,,SMAATO,18,1.9353074086744035
x,,,SMAATO,19,1.8732962939104283
x,,,SMAATO,20,0.020743503923470685
x,,,SMARTADSERVER,4,0.6483555722643141
x,,,SMARTADSERVER,5,0.5280661668954866
x,,,SMARTADSERVER,6,0.6418953032691144
x,,,SMARTADSERVER,7,0.3510648619314425
x,,,SMARTADSERVER,8,0.49579524366946626
x,,,SMARTADSERVER,9,0.7154240446995586
x,,,SMARTADSERVER,10,0.9911123990284937
x,,,SMARTADSERVER,11,1.208278418617661
x,,,SMARTADSERVER,12,1.2726533216756715
x,,,SMARTADSERVER,13,0.8950573574655234
x,,,SMARTADSERVER,14,1.1208826163483494
